"Name","PL","EN"
"pvc","Gracz vs AI","Player vs AI"
"pvp","Gracz vs Gracz","Player vs Player"
"cvc","AI vs AI","AI vs AI"
"rank","Ranking","Ranking"
"stats","Statystyki","Statisitics"
"change-lang","Zmiana języka","Change language"
"log-or-reg","Logowanie/Rejestracja","Login/Registration"
"exit","Wyjście","Exit"
"login","Logowanie","Login"
"registration","Rejestracja","Registration"
"register","Zarejestruj","Register"
"log-in","Zaloguj","Log in"
"log-out","Wyloguj","Log out"
"back","Powrót","Back"
